PHASE 4: FOLDER REDESIGN,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Folder Path,Folder Name,Depth Level,Parent Folder,
"/content/dam/securian/web-assets/email/images/bio-photo, (crxde, html, json)",bio-photo,5,/content/dam/securian/web-assets/email/images,"/content/dam/securian/web-assets/email/images/bio-photo, (crxde, html, json)"
"/content/dam/securian/web-assets/email/images/body, (crxde, html, json)",body,5,/content/dam/securian/web-assets/email/images,"/content/dam/securian/web-assets/email/images/body, (crxde, html, json)"
"/content/dam/securian/web-assets/email/images, (crxde, html, json)",images,4,/content/dam/securian/web-assets/email,"/content/dam/securian/web-assets/email/images, (crxde, html, json)"
"/content/dam/securian/web-assets/email/storymod4, (crxde, html, json)",storymod4,4,/content/dam/securian/web-assets/email,"/content/dam/securian/web-assets/email/storymod4, (crxde, html, json)"
"/content/dam/securian/web-assets/email/icons/social, (crxde, html, json)",social,5,/content/dam/securian/web-assets/email/icons,"/content/dam/securian/web-assets/email/icons/social, (crxde, html, json)"
"/content/dam/securian/web-assets/email/icons, (crxde, html, json)",icons,4,/content/dam/securian/web-assets/email,"/content/dam/securian/web-assets/email/icons, (crxde, html, json)"
"/content/dam/securian/web-assets/email/storymod2, (crxde, html, json)",storymod2,4,/content/dam/securian/web-assets/email,"/content/dam/securian/web-assets/email/storymod2, (crxde, html, json)"
"/content/dam/securian/web-assets/email, (crxde, html, json)",email,3,/content/dam/securian/web-assets,"/content/dam/securian/web-assets/email, (crxde, html, json)"
"/content/dam/securian/web-assets/site-specific/sync, (crxde, html, json)",sync,4,/content/dam/securian/web-assets/site-specific,"/content/dam/securian/web-assets/site-specific/sync, (crxde, html, json)"
"/content/dam/securian/web-assets/site-specific/securian, (crxde, html, json)",securian,4,/content/dam/securian/web-assets/site-specific,"/content/dam/securian/web-assets/site-specific/securian, (crxde, html, json)"
"/content/dam/securian/web-assets/site-specific/securianam, (crxde, html, json)",securianam,4,/content/dam/securian/web-assets/site-specific,"/content/dam/securian/web-assets/site-specific/securianam, (crxde, html, json)"
"/content/dam/securian/web-assets/site-specific/group, (crxde, html, json)",group,4,/content/dam/securian/web-assets/site-specific,"/content/dam/securian/web-assets/site-specific/group, (crxde, html, json)"
"/content/dam/securian/web-assets/site-specific, (crxde, html, json)",site-specific,3,/content/dam/securian/web-assets,"/content/dam/securian/web-assets/site-specific, (crxde, html, json)"
"/content/dam/securian/web-assets/video/individuals-&-families, (crxde, html, json)",individuals-&-families,4,/content/dam/securian/web-assets/video,"/content/dam/securian/web-assets/video/individuals-&-families, (crxde, html, json)"
"/content/dam/securian/web-assets/video/enterprise/brand, (crxde, html, json)",brand,5,/content/dam/securian/web-assets/video/enterprise,"/content/dam/securian/web-assets/video/enterprise/brand, (crxde, html, json)"
"/content/dam/securian/web-assets/video/enterprise/corporate-communications/human-resources, (crxde, html, json)",human-resources,6,/content/dam/securian/web-assets/video/enterprise/corporate-communications,"/content/dam/securian/web-assets/video/enterprise/corporate-communications/human-resources, (crxde, html, json)"
"/content/dam/securian/web-assets/video/enterprise/corporate-communications/events, (crxde, html, json)",events,6,/content/dam/securian/web-assets/video/enterprise/corporate-communications,"/content/dam/securian/web-assets/video/enterprise/corporate-communications/events, (crxde, html, json)"
"/content/dam/securian/web-assets/video/enterprise/corporate-communications, (crxde, html, json)",corporate-communications,5,/content/dam/securian/web-assets/video/enterprise,"/content/dam/securian/web-assets/video/enterprise/corporate-communications, (crxde, html, json)"
"/content/dam/securian/web-assets/video/enterprise/consumer, (crxde, html, json)",consumer,5,/content/dam/securian/web-assets/video/enterprise,"/content/dam/securian/web-assets/video/enterprise/consumer, (crxde, html, json)"
"/content/dam/securian/web-assets/video/enterprise/executive/management, (crxde, html, json)",management,6,/content/dam/securian/web-assets/video/enterprise/executive,"/content/dam/securian/web-assets/video/enterprise/executive/management, (crxde, html, json)"
"/content/dam/securian/web-assets/video/enterprise/executive, (crxde, html, json)",executive,5,/content/dam/securian/web-assets/video/enterprise,"/content/dam/securian/web-assets/video/enterprise/executive, (crxde, html, json)"
"/content/dam/securian/web-assets/video/enterprise, (crxde, html, json)",enterprise,4,/content/dam/securian/web-assets/video,"/content/dam/securian/web-assets/video/enterprise, (crxde, html, json)"
"/content/dam/securian/web-assets/video/individuals-&/video-00007-wealth-management.mp4/video-00007-wealth-management.mp4.assetdownload.zip/Wealth Management for Life.zip;-families/video-00007-wealth-management.mp4.assetdownload.zip/Wealth Management for Life.zip, (crxde, html, json)",Wealth Management for Life.zip,9,/content/dam/securian/web-assets/video/individuals-&/video-00007-wealth-management.mp4/video-00007-wealth-management.mp4.assetdownload.zip/Wealth Management for Life.zip;-families/video-00007-wealth-management.mp4.assetdownload.zip,"/content/dam/securian/web-assets/video/individuals-&/video-00007-wealth-management.mp4/video-00007-wealth-management.mp4.assetdownload.zip/Wealth Management for Life.zip;-families/video-00007-wealth-management.mp4.assetdownload.zip/Wealth Management for Life.zip, (crxde, html, json)"
"/content/dam/securian/web-assets/video/individuals-&/video-00007-wealth-management.mp4/video-00007-wealth-management.mp4.assetdownload.zip/Wealth Management for Life.zip;-families/video-00007-wealth-management.mp4.assetdownload.zip, (crxde, html, json)",video-00007-wealth-management.mp4.assetdownload.zip,8,/content/dam/securian/web-assets/video/individuals-&/video-00007-wealth-management.mp4/video-00007-wealth-management.mp4.assetdownload.zip/Wealth Management for Life.zip;-families,"/content/dam/securian/web-assets/video/individuals-&/video-00007-wealth-management.mp4/video-00007-wealth-management.mp4.assetdownload.zip/Wealth Management for Life.zip;-families/video-00007-wealth-management.mp4.assetdownload.zip, (crxde, html, json)"
"/content/dam/securian/web-assets/video/individuals-&/video-00007-wealth-management.mp4/video-00007-wealth-management.mp4.assetdownload.zip/Wealth Management for Life.zip;-families, (crxde, html, json)",Wealth Management for Life.zip;-families,7,/content/dam/securian/web-assets/video/individuals-&/video-00007-wealth-management.mp4/video-00007-wealth-management.mp4.assetdownload.zip,"/content/dam/securian/web-assets/video/individuals-&/video-00007-wealth-management.mp4/video-00007-wealth-management.mp4.assetdownload.zip/Wealth Management for Life.zip;-families, (crxde, html, json)"
"/content/dam/securian/web-assets/video/individuals-&/video-00007-wealth-management.mp4/video-00007-wealth-management.mp4.assetdownload.zip, (crxde, html, json)",video-00007-wealth-management.mp4.assetdownload.zip,6,/content/dam/securian/web-assets/video/individuals-&/video-00007-wealth-management.mp4,"/content/dam/securian/web-assets/video/individuals-&/video-00007-wealth-management.mp4/video-00007-wealth-management.mp4.assetdownload.zip, (crxde, html, json)"
"/content/dam/securian/web-assets/video/individuals-&/video-00007-wealth-management.mp4, (crxde, html, json)",video-00007-wealth-management.mp4,5,/content/dam/securian/web-assets/video/individuals-&,"/content/dam/securian/web-assets/video/individuals-&/video-00007-wealth-management.mp4, (crxde, html, json)"
"/content/dam/securian/web-assets/video/individuals-&/video-00007-wealth-management.mp4;-families/video-00007-wealth-management.mp4/jcr:content, (crxde, html, json)",jcr:content,7,/content/dam/securian/web-assets/video/individuals-&/video-00007-wealth-management.mp4;-families/video-00007-wealth-management.mp4,"/content/dam/securian/web-assets/video/individuals-&/video-00007-wealth-management.mp4;-families/video-00007-wealth-management.mp4/jcr:content, (crxde, html, json)"
"/content/dam/securian/web-assets/video/individuals-&/video-00007-wealth-management.mp4;-families/video-00007-wealth-management.mp4, (crxde, html, json)",video-00007-wealth-management.mp4,6,/content/dam/securian/web-assets/video/individuals-&/video-00007-wealth-management.mp4;-families,"/content/dam/securian/web-assets/video/individuals-&/video-00007-wealth-management.mp4;-families/video-00007-wealth-management.mp4, (crxde, html, json)"
"/content/dam/securian/web-assets/video/individuals-&/video-00007-wealth-management.mp4;-families, (crxde, html, json)",video-00007-wealth-management.mp4;-families,5,/content/dam/securian/web-assets/video/individuals-&,"/content/dam/securian/web-assets/video/individuals-&/video-00007-wealth-management.mp4;-families, (crxde, html, json)"
"/content/dam/securian/web-assets/video/individuals-&, (crxde, html, json)",individuals-&,4,/content/dam/securian/web-assets/video,"/content/dam/securian/web-assets/video/individuals-&, (crxde, html, json)"
"/content/dam/securian/web-assets/video/financial-professionals, (crxde, html, json)",financial-professionals,4,/content/dam/securian/web-assets/video,"/content/dam/securian/web-assets/video/financial-professionals, (crxde, html, json)"
"/content/dam/securian/web-assets/video/institutional-investors, (crxde, html, json)",institutional-investors,4,/content/dam/securian/web-assets/video,"/content/dam/securian/web-assets/video/institutional-investors, (crxde, html, json)"
"/content/dam/securian/web-assets/video/closed-caption, (crxde, html, json)",closed-caption,4,/content/dam/securian/web-assets/video,"/content/dam/securian/web-assets/video/closed-caption, (crxde, html, json)"
"/content/dam/securian/web-assets/video, (crxde, html, json)",video,3,/content/dam/securian/web-assets,"/content/dam/securian/web-assets/video, (crxde, html, json)"
"/content/dam/securian/web-assets/hero/article, (crxde, html, json)",article,4,/content/dam/securian/web-assets/hero,"/content/dam/securian/web-assets/hero/article, (crxde, html, json)"
"/content/dam/securian/web-assets/hero/cta, (crxde, html, json)",cta,4,/content/dam/securian/web-assets/hero,"/content/dam/securian/web-assets/hero/cta, (crxde, html, json)"
"/content/dam/securian/web-assets/hero/static, (crxde, html, json)",static,4,/content/dam/securian/web-assets/hero,"/content/dam/securian/web-assets/hero/static, (crxde, html, json)"
"/content/dam/securian/web-assets/hero, (crxde, html, json)",hero,3,/content/dam/securian/web-assets,"/content/dam/securian/web-assets/hero, (crxde, html, json)"
"/content/dam/securian/securian-com/css, (crxde, html, json)",css,3,/content/dam/securian/securian-com,"/content/dam/securian/securian-com/css, (crxde, html, json)"
"/content/dam/securian/securian-com/json, (crxde, html, json)",json,3,/content/dam/securian/securian-com,"/content/dam/securian/securian-com/json, (crxde, html, json)"
"/content/dam/securian/securian-com/js, (crxde, html, json)",js,3,/content/dam/securian/securian-com,"/content/dam/securian/securian-com/js, (crxde, html, json)"
"/content/dam/securian, (crxde, html, json)",securian,1,/content/dam,"/content/dam/securian, (crxde, html, json)"
"/content/dam/tech/gsap, (crxde, html, json)",gsap,2,/content/dam/tech,"/content/dam/tech/gsap, (crxde, html, json)"
"/content/dam/tech, (crxde, html, json)",tech,1,/content/dam,"/content/dam/tech, (crxde, html, json)"
"/content/dam/reg/prospectus/thirdqtrholdingrpt, (crxde, html, json)",thirdqtrholdingrpt,3,/content/dam/reg/prospectus,"/content/dam/reg/prospectus/thirdqtrholdingrpt, (crxde, html, json)"
"/content/dam/reg/prospectus/firstqtrholdingrpt, (crxde, html, json)",firstqtrholdingrpt,3,/content/dam/reg/prospectus,"/content/dam/reg/prospectus/firstqtrholdingrpt, (crxde, html, json)"
"/content/dam/reg/prospectus/proxystatements, (crxde, html, json)",proxystatements,3,/content/dam/reg/prospectus,"/content/dam/reg/prospectus/proxystatements, (crxde, html, json)"
"/content/dam/form/dcs, (crxde, html, json)",dcs,2,/content/dam/form,"/content/dam/form/dcs, (crxde, html, json)"
"/content/dam/s-form/med, (crxde, html, json)",med,2,/content/dam/s-form,"/content/dam/s-form/med, (crxde, html, json)"
