Group Membership Statistics,Unnamed: 1,Unnamed: 2,Unnamed: 3
mac-default-brand_assets_previewtool,1,,DAM Collection
mac-default-brand_assets_previewtool-owner,1,,DAM Collection
mac-default-brand_site_images,1,,DAM Collection
mac-default-brand_site_images-owner,1,,DAM Collection
mac-default-brand_zipped_files,1,,DAM Collection
mac-default-brand_zipped_files-owner,1,,DAM Collection
mac-default-cta_images__separatedblock,1,,DAM Collection
mac-default-cta_images__separatedblock-owner,1,,DAM Collection
mac-default-hero_images-owner,1,,DAM Collection
mac-default-securian_canada_pdfs,1,,DAM Collection
mac-default-securian_canada_pdfs-owner,1,,DAM Collection
mac-default-sync_editorial_images-owner,1,,DAM Collection
Adobe_AEM_DAM_Archive_Read,1,,DAM Role
scheduled_report_users,1,,System/Built-in
analytics-administrators,1,,Other
content-authors,1,,Other
